epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,4519.89,1.3693,1.42945,1.64074,0.31296,0.35437,0.29642,0.13672,2.16437,2.31643,2.34981,0.000281048,0.000281048,0.000281048
100,4565.39,1.35952,1.39776,1.63838,0.29385,0.32294,0.2856,0.13629,2.14833,2.36483,2.34434,0.00027663,0.00027663,0.00027663
101,4612.01,1.36044,1.40965,1.62674,0.3377,0.29924,0.27469,0.1343,2.10638,2.37749,2.33728,0.000272212,0.000272212,0.000272212
102,4658.94,1.38407,1.42544,1.63959,0.30522,0.34639,0.28373,0.13429,2.14267,2.39048,2.33256,0.000267795,0.000267795,0.000267795
103,4704.77,1.34175,1.37726,1.60734,0.32303,0.31368,0.26793,0.12817,2.1464,2.41615,2.35738,0.000263377,0.000263377,0.000263377
104,4751.81,1.36024,1.38948,1.62351,0.30509,0.3399,0.28802,0.13513,2.14257,2.31669,2.3549,0.000258959,0.000258959,0.000258959
105,4797.66,1.34087,1.37279,1.61641,0.34539,0.34906,0.29057,0.13731,2.12764,2.27178,2.3356,0.000254541,0.000254541,0.000254541
106,4844.35,1.35159,1.3762,1.6307,0.30603,0.37101,0.28169,0.12869,2.14043,2.31619,2.36199,0.000250123,0.000250123,0.000250123
107,4889.81,1.35417,1.36699,1.61812,0.34097,0.29823,0.28211,0.13484,2.13824,2.32469,2.34436,0.000245705,0.000245705,0.000245705
108,4936.17,1.34537,1.37103,1.61936,0.33737,0.32158,0.29348,0.13536,2.12892,2.32089,2.33954,0.000241287,0.000241287,0.000241287
109,4981.14,1.35119,1.37043,1.62639,0.32011,0.2914,0.2782,0.1327,2.13151,2.32224,2.33853,0.000236869,0.000236869,0.000236869
110,5027.56,1.32831,1.36614,1.61172,0.36986,0.32788,0.29156,0.1355,2.14684,2.33064,2.36423,0.000232452,0.000232452,0.000232452
111,5073.16,1.33446,1.36122,1.60834,0.27167,0.36617,0.27668,0.13441,2.11754,2.34954,2.3481,0.000228034,0.000228034,0.000228034
112,5119.47,1.33081,1.33167,1.60489,0.34464,0.33038,0.29529,0.13865,2.13473,2.31486,2.34283,0.000223616,0.000223616,0.000223616
113,5165.2,1.32162,1.33308,1.60316,0.34435,0.33875,0.29675,0.14077,2.11359,2.30852,2.30991,0.000219198,0.000219198,0.000219198
114,5211.31,1.32141,1.34034,1.6032,0.32572,0.32414,0.28352,0.13503,2.11241,2.35104,2.30527,0.00021478,0.00021478,0.00021478
115,5257.35,1.32772,1.33652,1.60494,0.33545,0.3328,0.2925,0.14001,2.11821,2.2949,2.32844,0.000210362,0.000210362,0.000210362
116,5302.69,1.30599,1.32809,1.59289,0.30749,0.31663,0.28905,0.13931,2.11114,2.32998,2.32619,0.000205944,0.000205944,0.000205944
117,5347.92,1.32294,1.32775,1.59693,0.33589,0.34867,0.30383,0.14468,2.10558,2.32076,2.30393,0.000201527,0.000201527,0.000201527
118,5393.35,1.31303,1.31555,1.58763,0.33127,0.33534,0.29798,0.14076,2.11546,2.35483,2.31982,0.000197109,0.000197109,0.000197109
119,5437.74,1.32082,1.33397,1.60094,0.29102,0.33746,0.30378,0.14283,2.10858,2.32988,2.29923,0.000192691,0.000192691,0.000192691
120,5483.71,1.32024,1.3118,1.59451,0.38745,0.293,0.29985,0.14185,2.12247,2.29989,2.31925,0.000188273,0.000188273,0.000188273
121,5528.1,1.30576,1.29099,1.58326,0.37074,0.29851,0.28805,0.1363,2.12596,2.33871,2.33603,0.000183855,0.000183855,0.000183855
122,5573.61,1.2993,1.28342,1.57448,0.36001,0.3109,0.29614,0.13716,2.14066,2.3462,2.33378,0.000179437,0.000179437,0.000179437
123,5618.51,1.3133,1.28476,1.58075,0.33021,0.31041,0.28039,0.13294,2.14499,2.39604,2.32956,0.000175019,0.000175019,0.000175019
124,5664.47,1.30873,1.2842,1.5829,0.36106,0.29017,0.29121,0.139,2.14953,2.33411,2.31609,0.000170601,0.000170601,0.000170601
125,5709.63,1.2938,1.25815,1.55481,0.33282,0.34102,0.29977,0.14362,2.12633,2.36263,2.29673,0.000166183,0.000166183,0.000166183
126,5756.57,1.3147,1.28251,1.58069,0.31923,0.33175,0.29053,0.13878,2.11339,2.32191,2.29993,0.000161766,0.000161766,0.000161766
127,5802.2,1.29761,1.27433,1.57357,0.37536,0.32392,0.30502,0.14791,2.13642,2.28554,2.33336,0.000157348,0.000157348,0.000157348
128,5849.23,1.29789,1.24348,1.55964,0.3336,0.33276,0.29273,0.14306,2.12979,2.34936,2.32514,0.00015293,0.00015293,0.00015293
129,5895.83,1.28496,1.25722,1.56188,0.37152,0.28897,0.28958,0.13625,2.14485,2.39968,2.3348,0.000148512,0.000148512,0.000148512
130,5941.34,1.28199,1.25047,1.55547,0.37904,0.29678,0.2897,0.13818,2.12892,2.3566,2.3178,0.000144094,0.000144094,0.000144094
131,5987.32,1.26971,1.25106,1.55179,0.3667,0.29812,0.29226,0.13762,2.12777,2.37071,2.31098,0.000139676,0.000139676,0.000139676
132,6032.24,1.26606,1.23397,1.54537,0.35401,0.29433,0.29169,0.14051,2.1323,2.3946,2.31736,0.000135258,0.000135258,0.000135258
133,6078.66,1.27135,1.24198,1.55443,0.35294,0.30864,0.29042,0.13756,2.14076,2.39545,2.3431,0.000130841,0.000130841,0.000130841
134,6124.72,1.27617,1.23397,1.5488,0.33207,0.32923,0.29024,0.14227,2.13232,2.37859,2.33858,0.000126423,0.000126423,0.000126423
135,6171.51,1.27059,1.24423,1.54712,0.37541,0.28741,0.27639,0.13606,2.14698,2.39386,2.3486,0.000122005,0.000122005,0.000122005
136,6217.06,1.265,1.26091,1.54512,0.34495,0.30983,0.29324,0.13934,2.1413,2.35044,2.33522,0.000117587,0.000117587,0.000117587
137,6263.91,1.26951,1.24942,1.55077,0.29554,0.33954,0.29086,0.13717,2.14118,2.3525,2.35786,0.000113169,0.000113169,0.000113169
138,6309.62,1.26944,1.24381,1.55148,0.30325,0.33889,0.28427,0.13874,2.14778,2.39499,2.35544,0.000108751,0.000108751,0.000108751
139,6356.89,1.265,1.23278,1.54915,0.32129,0.30369,0.28562,0.13655,2.14144,2.38863,2.34074,0.000104333,0.000104333,0.000104333
140,6403.91,1.27646,1.22606,1.55587,0.31544,0.32798,0.28405,0.13463,2.1388,2.36662,2.34104,9.99154e-05,9.99154e-05,9.99154e-05
141,6449.62,1.26235,1.22767,1.54718,0.33998,0.3022,0.28235,0.13694,2.14209,2.38505,2.3463,9.54975e-05,9.54975e-05,9.54975e-05
142,6496.39,1.25286,1.21061,1.53882,0.36439,0.29666,0.28908,0.13977,2.14117,2.38749,2.34673,9.10796e-05,9.10796e-05,9.10796e-05
143,6542.39,1.24621,1.2117,1.52521,0.34262,0.29647,0.28425,0.1347,2.14523,2.38332,2.34301,8.66618e-05,8.66618e-05,8.66618e-05
144,6589.96,1.26883,1.21749,1.54602,0.31309,0.31162,0.28361,0.13193,2.14987,2.4136,2.35235,8.22439e-05,8.22439e-05,8.22439e-05
145,6636.36,1.25843,1.20649,1.52651,0.28563,0.3302,0.28248,0.13198,2.15999,2.38802,2.36723,7.7826e-05,7.7826e-05,7.7826e-05
146,6683.47,1.25507,1.1965,1.52976,0.35033,0.27914,0.28742,0.13232,2.16821,2.40098,2.36992,7.34081e-05,7.34081e-05,7.34081e-05
147,6730.83,1.2315,1.1826,1.51688,0.2814,0.33505,0.28014,0.13336,2.15604,2.40378,2.35238,6.89903e-05,6.89903e-05,6.89903e-05
148,6776.43,1.23303,1.1862,1.51922,0.30318,0.33625,0.28247,0.13257,2.1473,2.38471,2.35164,6.45724e-05,6.45724e-05,6.45724e-05
149,6823.31,1.23819,1.19266,1.52854,0.31968,0.33716,0.28849,0.13478,2.15611,2.38659,2.34974,6.01545e-05,6.01545e-05,6.01545e-05
150,6869.11,1.24165,1.19425,1.5278,0.30072,0.31984,0.28238,0.1328,2.15719,2.40588,2.34806,5.57366e-05,5.57366e-05,5.57366e-05
151,6916.44,1.21844,1.04737,1.55412,0.3774,0.27554,0.28481,0.13193,2.17989,2.36093,2.38292,5.13187e-05,5.13187e-05,5.13187e-05
152,6961.06,1.18972,0.98739,1.53397,0.27855,0.37021,0.28709,0.13023,2.17172,2.3426,2.37597,4.69009e-05,4.69009e-05,4.69009e-05
153,7005.98,1.16977,0.977,1.51959,0.35588,0.29091,0.28204,0.13088,2.16221,2.35137,2.36495,4.2483e-05,4.2483e-05,4.2483e-05
154,7049.86,1.1716,0.95792,1.52082,0.34605,0.2857,0.28562,0.13461,2.15425,2.37246,2.36451,3.80651e-05,3.80651e-05,3.80651e-05
155,7093.79,1.16571,0.96446,1.52051,0.39171,0.29461,0.29357,0.13439,2.15246,2.34063,2.35441,3.36472e-05,3.36472e-05,3.36472e-05
156,7139,1.16315,0.95901,1.51051,0.34923,0.29639,0.28622,0.13518,2.15183,2.34313,2.36279,2.92294e-05,2.92294e-05,2.92294e-05
157,7182.89,1.15718,0.92209,1.50457,0.35431,0.28285,0.28896,0.13675,2.15338,2.35034,2.36012,2.48115e-05,2.48115e-05,2.48115e-05
158,7227.54,1.14267,0.92991,1.49983,0.30317,0.32515,0.28841,0.13674,2.14718,2.34849,2.35424,2.03936e-05,2.03936e-05,2.03936e-05
159,7270.99,1.15707,0.94357,1.5031,0.29567,0.33896,0.29087,0.13681,2.15196,2.34804,2.35742,1.59757e-05,1.59757e-05,1.59757e-05
160,7314.83,1.12999,0.9095,1.47618,0.297,0.33282,0.28777,0.1369,2.15881,2.35138,2.36321,1.15579e-05,1.15579e-05,1.15579e-05
